Year,District,Jan-FebDistrict,Mar-MayDistrict,Jun-SepDistrict,Oct-DecDistrict,AnnualDistrict,JanFebNational,MarMayNational,JunSepNational,OctDecNational,AnnualNational
1997,Adilabad,23.826999999999998,32.65866666666667,28.71575,24.708,27.884749999999997,20.2,27.23,28.13,23.22,25.35
1998,Adilabad,24.287,31.64633333333333,29.429249999999996,24.52933333333333,27.901500000000002,20.83,27.82,28.31,23.43,25.72
1999,Adilabad,25.076500000000003,32.901666666666664,28.44275,23.691,27.808499999999995,20.81,27.81,27.92,23.37,25.57
2000,Adilabad,23.842,31.923333333333336,27.74225,24.013666666666666,27.205333333333332,20.53,27.63,27.85,23.65,25.53
2001,Adilabad,24.216,30.540000000000003,27.458999999999996,24.400666666666666,26.924166666666665,20.78,27.73,27.92,23.61,25.6
2002,Adilabad,24.621000000000002,32.37466666666666,28.083250000000003,23.911,27.535999999999998,20.74,28.02,28.17,23.57,25.74
2003,Adilabad,23.4235,32.495,28.89275,23.53333333333333,27.541916666666665,20.71,27.83,28.1,23.33,25.61
2004,Adilabad,23.8825,32.385333333333335,28.797,23.453666666666667,27.539166666666663,20.76,28.1,28.02,23.3,25.65
2005,Adilabad,24.091,32.386,27.38775,23.697666666666663,27.165333333333333,20.8,27.7,28.25,23.1,25.58
2006,Adilabad,22.5805,31.163,29.269250000000003,24.66433333333333,27.476666666666663,21.39,27.69,28.02,23.59,25.72
2007,Adilabad,25.3335,32.617333333333335,28.821250000000003,23.745,27.919916666666666,20.92,27.84,28.11,23.42,25.67
2008,Adilabad,23.069000000000003,31.121666666666666,28.67675,25.326999999999998,27.51591666666667,20.26,27.7,27.85,23.85,25.55
2009,Adilabad,24.948999999999998,32.51833333333334,29.29225,24.213000000000005,28.105083333333337,21.59,28.12,28.55,23.61,26.05
2010,Adilabad,24.0435,32.408,27.81825,24.138,27.416500000000003,21.09,28.89,28.2,23.58,26.03
2011,Adilabad,24.5075,31.953999999999997,27.742,24.910666666666668,27.548083333333338,20.52,27.67,28.06,23.71,25.62
2012,Adilabad,25.125,32.25566666666666,28.212250000000004,24.89033333333333,27.878083333333333,20.36,27.82,28.26,23.33,25.6
2013,Adilabad,24.667,32.966,28.213250000000002,24.769000000000002,27.949333333333332,20.93,28.04,28.03,23.36,25.68
1997,Anantapur,23.658,30.060666666666666,26.1605,24.445999999999998,26.289833333333334,20.2,27.23,28.13,23.22,25.35
1998,Anantapur,24.0845,29.402666666666665,26.682,23.947000000000003,26.245499999999996,20.83,27.82,28.31,23.43,25.72
1999,Anantapur,24.7685,29.627666666666666,25.65175,23.864000000000004,26.05158333333333,20.81,27.81,27.92,23.37,25.57
2000,Anantapur,23.78,29.075999999999997,25.579749999999997,24.197000000000003,25.808166666666665,20.53,27.63,27.85,23.65,25.53
2001,Anantapur,24.3655,28.88966666666667,25.621250000000003,23.652666666666665,25.73691666666667,20.78,27.73,27.92,23.61,25.6
2002,Anantapur,24.688499999999998,29.88,25.765500000000003,23.559,26.063,20.74,28.02,28.17,23.57,25.74
2003,Anantapur,23.762500000000003,29.521666666666665,26.144500000000004,23.727666666666664,25.987583333333333,20.71,27.83,28.1,23.33,25.61
2004,Anantapur,23.686999999999998,29.74,26.147,23.274666666666665,25.917166666666663,20.76,28.1,28.02,23.3,25.65
2005,Anantapur,24.2855,29.606333333333335,26.125,22.891000000000002,25.880249999999993,20.8,27.7,28.25,23.1,25.58
2006,Anantapur,24.244999999999997,29.414666666666665,26.409750000000003,24.241333333333333,26.258083333333328,21.39,27.69,28.02,23.59,25.72
2007,Anantapur,24.677500000000002,29.706,25.78,23.545666666666666,26.019166666666667,20.92,27.84,28.11,23.42,25.67
2008,Anantapur,23.997,28.819666666666667,26.48775,24.672666666666668,26.20183333333333,20.26,27.7,27.85,23.85,25.55
2009,Anantapur,25.378999999999998,30.301,26.4875,23.907666666666668,26.611166666666673,21.59,28.12,28.55,23.61,26.05
2010,Anantapur,24.27,29.18466666666667,25.76725,23.858,25.89475,21.09,28.89,28.2,23.58,26.03
2011,Anantapur,24.784,29.083333333333332,25.4865,23.927999999999997,25.879,20.52,27.67,28.06,23.71,25.62
2012,Anantapur,25.255499999999998,29.608,26.030749999999998,23.994,26.28666666666666,20.36,27.82,28.26,23.33,25.6
2013,Anantapur,24.498,29.88433333333333,26.257749999999998,24.179333333333332,26.351499999999998,20.93,28.04,28.03,23.36,25.68
1997,Chittoor,23.0295,29.155999999999995,27.528750000000002,24.167333333333335,26.34533333333333,20.2,27.23,28.13,23.22,25.35
1998,Chittoor,23.3245,28.721333333333334,27.829,24.213333333333335,26.39741666666666,20.83,27.82,28.31,23.43,25.72
1999,Chittoor,23.958,29.296000000000003,26.883250000000004,23.936666666666667,26.262249999999998,20.81,27.81,27.92,23.37,25.57
